gene,in_scvi_4000_hvg,in_old_candidate_gate_marker,in_neither_scvi_hvg_nor_gate,in_expression_matrix,expression_aliases,n_expression_aliases
CPA6,False,False,True,True,CPA6,1
CPE,True,False,False,True,CPE,1
CPNE5,False,False,True,True,CPNE5,1
CRISPLD2,True,False,False,True,CRISPLD2,1
CRYAB,True,False,False,True,CRYAB,1
CSDC2,False,False,True,True,CSDC2,1
CSNK1E,False,False,True,True,CSNK1E,1
CSRP1,False,False,True,True,CSRP1,1
CSRP2,True,False,False,True,CSRP2,1
CTC-296K1.4,False,False,True,False,,0
CTD-2314B22.3,False,False,True,False,,0
CTGF,False,False,True,False,,0
CTHRC1,True,False,False,True,CTHRC1,1
CTNNAL1,True,False,False,True,CTNNAL1,1
CTSF,False,False,True,True,CTSF,1
CTSK,True,True,False,True,CTSK,1
CTTN,False,False,True,True,CTTN,1
CXCL12,True,False,False,True,CXCL12,1
CYGB,False,False,True,True,CYGB,1
CYP1B1,True,False,False,True,CYP1B1,1
CYR61,False,False,True,False,,0
DAAM1,False,False,True,True,DAAM1,1
DACT3,False,False,True,True,DACT3,1
DAPK3,False,False,True,True,DAPK3,1
DAPL1,False,False,True,True,DAPL1,1
DBN1,True,False,False,True,DBN1,1
DBP,False,False,True,True,DBP,1
DCHS1,False,False,True,True,DCHS1,1
DCN,True,False,False,True,DCN,1
DCX,False,False,True,True,DCX,1
DDR2,True,False,False,True,DDR2,1
DES,True,False,False,True,DES,1
DEXI,False,False,True,True,DEXI,1
DIP2C,False,False,True,True,DIP2C,1
DIXDC1,False,False,True,True,DIXDC1,1
DLG5,False,False,True,True,DLG5,1
DMD,False,False,True,True,DMD,1
DNAJA3,False,False,True,True,DNAJA3,1
DNAJB5,False,False,True,True,DNAJB5,1
DNAJC18,False,False,True,True,DNAJC18,1
DOK5,False,False,True,True,DOK5,1
DPYSL3,True,False,False,True,DPYSL3,1
DST,True,False,False,True,DST,1
DTNA,False,False,True,True,DTNA,1
DTWD1,False,False,True,True,DTWD1,1
DTX3,False,False,True,True,DTX3,1
DVL3,False,False,True,True,DVL3,1
EBF1,False,False,True,True,EBF1,1
ECM1,False,False,True,True,ECM1,1
EFEMP1,True,False,False,True,EFEMP1,1
EFEMP2,False,False,True,True,EFEMP2,1
EGFLAM,False,False,True,True,EGFLAM,1
EHBP1,False,False,True,True,EHBP1,1
EHD2,True,False,False,True,EHD2,1
EHMT2,False,False,True,True,EHMT2,1
EID3,False,False,True,True,EID3,1
EIF2B2,False,False,True,True,EIF2B2,1
EMILIN1,False,False,True,True,EMILIN1,1
EMX2,True,False,False,True,EMX2,1
EMX2OS,False,False,True,True,EMX2OS,1
ENAH,True,False,False,True,ENAH,1
ENO2,False,False,True,True,ENO2,1
EPDR1,False,False,True,True,EPDR1,1
EPN2,False,False,True,True,EPN2,1
ESR1,False,True,False,True,ESR1,1
EXTL2,False,False,True,True,EXTL2,1
F10,True,False,False,True,F10,1
FABP7,False,False,True,True,FABP7,1
FADS1,False,False,True,True,FADS1,1
FADS2,False,False,True,True,FADS2,1
FAHD2B,False,False,True,True,FAHD2B,1
FAIM2,False,False,True,True,FAIM2,1
FAM110B,False,False,True,True,FAM110B,1
FAM114A1,False,False,True,True,FAM114A1,1
FAM115A,False,False,True,False,,0
FAM178A,False,False,True,False,,0
FAM213A,False,False,True,False,,0
FAM214A,False,False,True,True,FAM214A,1
FAM228B,False,False,True,True,FAM228B,1
FAM229B,True,False,False,True,FAM229B,1
FAM60A,False,False,True,False,,0
FAM63A,False,False,True,False,,0
FAM92A1,False,False,True,False,,0
FAP,False,False,True,True,FAP,1
FAS,False,False,True,True,FAS,1
FBLIM1,False,False,True,True,FBLIM1,1
FBLN1,True,False,False,True,FBLN1,1
FBXO17,False,False,True,True,FBXO17,1
FBXO18,False,False,True,False,,0
FBXO22,False,False,True,True,FBXO22,1
FBXO32,True,False,False,True,FBXO32,1
FBXO44,False,False,True,True,FBXO44,1
FEM1B,False,False,True,True,FEM1B,1
FERMT2,False,False,True,True,FERMT2,1
FEZ1,False,False,True,True,FEZ1,1
FGF14-AS2,False,False,True,True,FGF14-AS2,1
FGF7,False,False,True,True,FGF7,1
FGFR1,False,False,True,True,FGFR1,1
FHL2,True,False,False,True,FHL2,1
FILIP1L,True,False,False,True,FILIP1L,1
FKBP10,False,False,True,True,FKBP10,1
FKBP7,False,False,True,True,FKBP7,1
FKBP9,False,False,True,True,FKBP9,1
FLJ27365,False,False,True,False,,0
FMOD,False,False,True,True,FMOD,1
FOXRED2,False,False,True,True,FOXRED2,1
FRMD6,False,False,True,True,FRMD6,1
FRZB,True,False,False,True,FRZB,1
FSTL1,True,False,False,True,FSTL1,1
FTX,False,False,True,True,FTX,1
FXYD1,True,False,False,True,FXYD1,1
FXYD6,True,False,False,True,FXYD6,1
FZD3,False,False,True,True,FZD3,1
FZD7,False,False,True,True,FZD7,1
GADD45A,True,False,False,True,GADD45A,1
GAS1,False,False,True,True,GAS1,1
GAS6,True,False,False,True,GAS6,1
GATA6,False,False,True,True,GATA6,1
GBA2,False,False,True,True,GBA2,1
GCAT,False,False,True,True,GCAT,1
GCSH,False,False,True,True,GCSH,1
GDF15,True,False,False,True,GDF15,1
GEM,True,False,False,True,GEM,1
GJA1,True,False,False,True,GJA1,1
GLIS1,False,False,True,True,GLIS1,1
GNAL,False,False,True,True,GNAL,1
GNB5,False,False,True,True,GNB5,1
GNG11,True,False,False,True,GNG11,1
GNPDA1,False,False,True,True,GNPDA1,1
GOLM1,False,False,True,True,GOLM1,1
GOT1,False,False,True,True,GOT1,1
GPC1,False,False,True,True,GPC1,1
GPR124,False,False,True,False,,0
GPR137,False,False,True,True,GPR137,1
GPR137B,False,False,True,True,GPR137B,1
GPR143,False,False,True,True,GPR143,1
GPRC5B,True,False,False,True,GPRC5B,1
GPX7,False,False,True,True,GPX7,1
GRAMD3,False,False,True,False,,0
GREM1,False,False,True,True,GREM1,1
GSTM3,True,False,False,True,GSTM3,1
GSTM4,False,False,True,True,GSTM4,1
GSTZ1,False,False,True,True,GSTZ1,1
GTF2IRD2B,False,False,True,True,GTF2IRD2B,1
GUCY1A3,False,False,True,False,,0
GULP1,False,False,True,True,GULP1,1
H2AFY2,False,False,True,True,H2AFY2,1
HABP4,False,False,True,True,HABP4,1
HAND2,False,False,True,True,HAND2,1
HAND2-AS1,True,False,False,True,HAND2-AS1,1
HDAC9,False,False,True,True,HDAC9,1
HDGFRP3,False,False,True,False,,0
HHATL,False,False,True,True,HHATL,1
HIBADH,False,False,True,True,HIBADH,1
HMGCL,False,False,True,True,HMGCL,1
HOMER1,False,False,True,True,HOMER1,1
HOMER3,False,False,True,True,HOMER3,1
HOXA10,False,False,True,True,HOXA10,1
HOXA11,False,False,True,True,HOXA11,1
HOXA11-AS,False,False,True,True,HOXA11-AS,1
HOXA7,False,False,True,True,HOXA7,1
HOXA9,False,False,True,True,HOXA9,1
HOXC6,False,False,True,True,HOXC6,1
HOXD11,False,False,True,True,HOXD11,1
HOXD8,False,False,True,True,HOXD8,1
HSD17B14,False,False,True,True,HSD17B14,1
HSPA2,True,False,False,True,HSPA2,1
HSPB2,False,False,True,True,HSPB2,1
HSPB6,True,False,False,True,HSPB6,1
HSPB7,False,False,True,True,HSPB7,1
HSPB8,False,False,True,True,HSPB8,1
HTR2B,True,False,False,True,HTR2B,1
HTRA1,True,False,False,True,HTRA1,1
IDH3B,False,False,True,True,IDH3B,1
IER3,True,False,False,True,IER3,1
IER5L,False,False,True,True,IER5L,1
IFT46,False,False,True,True,IFT46,1
IFT81,False,False,True,True,IFT81,1
IGF2BP2,False,False,True,True,IGF2BP2,1
IGFBP4,True,False,False,True,IGFBP4,1
IGFBP6,True,False,False,True,IGFBP6,1
IGFN1,False,False,True,True,IGFN1,1
IGSF21,False,False,True,True,IGSF21,1
IL33,True,False,False,True,IL33,1
IMMP1L,False,False,True,True,IMMP1L,1
INPP4A,False,False,True,True,INPP4A,1
IP6K2,False,False,True,True,IP6K2,1
IQCK,False,False,True,True,IQCK,1
ISLR,True,False,False,True,ISLR,1
ISOC1,False,False,True,True,ISOC1,1
ISYNA1,False,False,True,True,ISYNA1,1
ITGA1,True,False,False,True,ITGA1,1
ITGA11,False,False,True,True,ITGA11,1
ITGA8,True,False,False,True,ITGA8,1
ITGAV,False,False,True,True,ITGAV,1
ITM2C,True,False,False,True,ITM2C,1
ITPKB,False,False,True,True,ITPKB,1
ITPR1,False,False,True,True,ITPR1,1
JAZF1,False,False,True,True,JAZF1,1
JMY,False,False,True,True,JMY,1
KANK1,False,False,True,True,KANK1,1
KANK2,True,False,False,True,KANK2,1
KCNAB1,False,False,True,True,KCNAB1,1
KCNC2,True,False,False,True,KCNC2,1
KCNMA1,False,False,True,True,KCNMA1,1
KCNMB1,False,False,True,True,KCNMB1,1
KCNQ1OT1,True,False,False,True,KCNQ1OT1,1
KCTD3,False,False,True,True,KCTD3,1
KIAA1377,False,False,True,False,,0
KIAA2018,False,False,True,False,,0
LAMA4,True,False,False,True,LAMA4,1
LAMC1,False,False,True,True,LAMC1,1
LAMC3,True,False,False,True,LAMC3,1
LAPTM4B,False,False,True,True,LAPTM4B,1
LARP6,False,False,True,True,LARP6,1
LBH,True,False,False,True,LBH,1
LDB2,True,False,False,True,LDB2,1
LDOC1,False,False,True,True,LDOC1,1
LEPR,True,False,False,True,LEPR,1
LHFP,False,False,True,False,,0
LIMS2,True,False,False,True,LIMS2,1
LIN7A,False,False,True,True,LIN7A,1
LINC00237,False,False,True,True,LINC00237,1
LINC00478,False,False,True,False,,0
LINC00844,False,False,True,True,LINC00844,1
LMOD1,True,False,False,True,LMOD1,1
LONRF1,False,False,True,True,LONRF1,1
LPAR1,False,False,True,True,LPAR1,1
LPAR6,False,False,True,True,LPAR6,1
LRCH1,False,False,True,True,LRCH1,1
LRRC17,False,False,True,True,LRRC17,1
LRRC32,True,False,False,True,LRRC32,1
LRRC39,False,False,True,True,LRRC39,1
LRRC8A,True,False,False,True,LRRC8A,1
LRRN4CL,False,False,True,True,LRRN4CL,1
LRRTM3,False,False,True,True,LRRTM3,1
LTBP4,False,False,True,True,LTBP4,1
LUM,True,False,False,True,LUM,1
LXN,True,False,False,True,LXN,1
LYPLAL1,False,False,True,True,LYPLAL1,1
LZTS2,False,False,True,True,LZTS2,1
MAF,True,False,False,True,MAF,1
MAGED1,False,False,True,True,MAGED1,1
MAGED2,False,False,True,True,MAGED2,1
MAGEF1,False,False,True,True,MAGEF1,1
MAGEH1,True,False,False,True,MAGEH1,1
MAN1A2,False,False,True,True,MAN1A2,1
MAN1C1,False,False,True,True,MAN1C1,1
MAOB,False,False,True,True,MAOB,1
MAP1A,True,False,False,True,MAP1A,1
MAP1B,True,False,False,True,MAP1B,1
MAP4K5,False,False,True,True,MAP4K5,1
MAPK10,False,False,True,True,MAPK10,1
MAPKAP1,False,False,True,True,MAPKAP1,1
MAPKAPK5,False,False,True,True,MAPKAPK5,1
MATN2,True,False,False,True,MATN2,1
MCOLN3,False,False,True,True,MCOLN3,1
MDK,True,False,False,True,MDK,1
MEIS2,False,False,True,True,MEIS2,1
MFAP2,False,False,True,True,MFAP2,1
MFAP4,True,False,False,True,MFAP4,1
MFGE8,True,False,False,True,MFGE8,1
MGP,True,False,False,True,MGP,1
MICU3,False,False,True,True,MICU3,1
MID1,False,False,True,True,MID1,1
MIR1-2,False,False,True,False,,0
MIR143HG,False,False,True,False,,0
MIR145,False,False,True,False,,0
MIR4458HG,False,False,True,True,MIR4458HG,1
MITF,False,True,False,True,MITF,1
MLANA,False,True,False,True,MLANA,1
MLLT11,True,False,False,True,MLLT11,1
MLTK,False,False,True,False,,0
MMP11,True,False,False,True,MMP11,1
MMP14,False,False,True,True,MMP14,1
MMP2,True,False,False,True,MMP2,1
MMP23B,True,False,False,True,MMP23B,1
MOSPD1,False,False,True,True,MOSPD1,1
MOXD1,False,False,True,True,MOXD1,1
MPDZ,False,False,True,True,MPDZ,1
MRAS,False,False,True,True,MRAS,1
MRGPRF,True,False,False,True,MRGPRF,1
MRVI1,False,False,True,True,MRVI1,1
MSANTD3,False,False,True,True,MSANTD3,1
MSRB3,True,False,False,True,MSRB3,1
MUL1,False,False,True,True,MUL1,1
MUM1L1,False,False,True,False,,0
MXRA7,False,False,True,True,MXRA7,1
MXRA8,False,False,True,True,MXRA8,1
MYH10,True,False,False,True,MYH10,1
MYH11,True,False,False,True,MYH11,1
MYL6B,False,False,True,True,MYL6B,1
MYL9,True,False,False,True,MYL9,1
MYLIP,True,False,False,True,MYLIP,1
MYLK,True,False,False,True,MYLK,1
MYO10,False,False,True,True,MYO10,1
MYO1D,False,False,True,True,MYO1D,1
NADK2,False,False,True,True,NADK2,1
NAP1L5,False,False,True,True,NAP1L5,1
NARF,False,False,True,True,NARF,1
NBL1,True,False,False,True,NBL1,1
NCAM1,True,False,False,True,NCAM1,1
NDN,False,False,True,True,NDN,1
NDRG2,True,False,False,True,NDRG2,1
NECAB2,True,False,False,True,NECAB2,1
NELL2,True,False,False,True,NELL2,1
NEXN,True,False,False,True,NEXN,1
NFE2L1,False,False,True,True,NFE2L1,1
NFIA,False,False,True,True,NFIA,1
NLRP1,False,False,True,True,NLRP1,1
NME7,False,False,True,True,NME7,1
NOVA1,False,False,True,True,NOVA1,1
NPTX1,False,False,True,True,NPTX1,1
NR2F1,True,False,False,True,NR2F1,1
NR2F2,True,False,False,True,NR2F2,1
NR2F2-AS1,True,False,False,True,NR2F2-AS1,1
NREP,False,False,True,True,NREP,1
NT5DC3,False,False,True,True,NT5DC3,1
NUDT10,False,False,True,True,NUDT10,1
NXN,False,False,True,True,NXN,1
OAF,False,False,True,True,OAF,1
OBSL1,False,False,True,True,OBSL1,1
OGN,True,False,False,True,OGN,1
OLFML1,True,False,False,True,OLFML1,1
OPTN,False,False,True,True,OPTN,1
OSR2,False,False,True,True,OSR2,1
OXCT1,False,False,True,True,OXCT1,1
P4HA2,False,False,True,True,P4HA2,1
PAFAH1B3,False,False,True,True,PAFAH1B3,1
PALLD,True,False,False,True,PALLD,1
PARVA,False,False,True,True,PARVA,1
PAWR,False,False,True,True,PAWR,1
PBX1,True,False,False,True,PBX1,1
PBX3,False,False,True,True,PBX3,1
PCBP4,False,False,True,True,PCBP4,1
PCDH7,False,False,True,True,PCDH7,1
PCGF2,False,False,True,True,PCGF2,1
PCGF3,False,False,True,True,PCGF3,1
PCP4,True,False,False,True,PCP4,1
PCSK1N,True,False,False,True,PCSK1N,1
PDE1A,False,False,True,True,PDE1A,1
PDE5A,False,False,True,True,PDE5A,1
PDGFRA,True,False,False,True,PDGFRA,1
PDGFRB,True,False,False,True,PDGFRB,1
PDK1,False,False,True,True,PDK1,1
PDLIM4,True,False,False,True,PDLIM4,1
PDLIM7,False,False,True,True,PDLIM7,1
PDPN,True,False,False,True,PDPN,1
PDZRN3,False,False,True,True,PDZRN3,1
PELO,False,False,True,True,PELO,1
PFKM,False,False,True,True,PFKM,1
PFN2,True,False,False,True,PFN2,1
PGM2L1,False,False,True,True,PGM2L1,1
PGM5,False,False,True,True,PGM5,1
PGM5-AS1,True,False,False,True,PGM5-AS1,1
PGR,False,False,True,True,PGR,1
PGRMC1,False,False,True,True,PGRMC1,1
PHLDB2,True,False,False,True,PHLDB2,1
PHYHD1,False,False,True,True,PHYHD1,1
PI15,False,False,True,True,PI15,1
PIGU,False,False,True,True,PIGU,1
PIGX,False,False,True,True,PIGX,1
PIK3IP1,False,False,True,True,PIK3IP1,1
PIK3R3,True,False,False,True,PIK3R3,1
PINK1,False,False,True,True,PINK1,1
PITX2,False,False,True,True,PITX2,1
PKD1,False,False,True,True,PKD1,1
PKD2,False,False,True,True,PKD2,1
PKIG,True,False,False,True,PKIG,1
PLAT,True,False,False,True,PLAT,1
PLCB1,True,False,False,True,PLCB1,1
PLCD3,False,False,True,True,PLCD3,1
PLEKHA5,False,False,True,True,PLEKHA5,1
PLEKHO1,False,False,True,True,PLEKHO1,1
PLN,True,False,False,True,PLN,1
PLOD2,False,False,True,True,PLOD2,1
PLS3,False,False,True,True,PLS3,1
PLTP,True,False,False,True,PLTP,1
PLXDC1,False,False,True,True,PLXDC1,1
PMEL,True,True,False,True,PMEL,1
PMP22,True,False,False,True,PMP22,1
PNMA1,False,False,True,True,PNMA1,1
POLR2M,False,False,True,True,POLR2M,1
POPDC2,False,False,True,True,POPDC2,1
PPAP2A,False,False,True,False,,0
PPFIBP1,True,False,False,True,PPFIBP1,1
PPP1R12B,False,False,True,True,PPP1R12B,1
PPP1R12C,False,False,True,True,PPP1R12C,1
PPP1R3B,False,False,True,True,PPP1R3B,1
PPP1R3E,False,False,True,True,PPP1R3E,1
PRAF2,False,False,True,True,PRAF2,1
PRELP,True,False,False,True,PRELP,1
PRICKLE1,True,False,False,True,PRICKLE1,1
PRKACB,False,False,True,True,PRKACB,1
PRKCDBP,False,False,True,False,,0
PRLR,False,False,True,True,PRLR,1
PRPS2,False,False,True,True,PRPS2,1
PRR24,False,False,True,False,,0
PRRX1,False,False,True,True,PRRX1,1
PRSS23,True,False,False,True,PRSS23,1
PRUNE2,False,False,True,True,PRUNE2,1
PSPH,False,False,True,True,PSPH,1
PTBP2,False,False,True,True,PTBP2,1
PTGDS,True,False,False,True,PTGDS,1
PTGER3,False,False,True,True,PTGER3,1
PTGES,False,False,True,True,PTGES,1
PTGFRN,False,False,True,True,PTGFRN,1
PTGIS,True,False,False,True,PTGIS,1
PTN,True,False,False,True,PTN,1
PTP4A3,True,False,False,True,PTP4A3,1
PTPRD,False,False,True,True,PTPRD,1
PTPRS,False,False,True,True,PTPRS,1
PTRF,False,False,True,False,,0
PXK,False,False,True,True,PXK,1
QPRT,False,False,True,True,QPRT,1
RAB23,False,False,True,True,RAB23,1
RAB33A,False,False,True,True,RAB33A,1
RAB3IL1,False,False,True,True,RAB3IL1,1
RAB40B,False,False,True,True,RAB40B,1
RABGAP1,False,False,True,True,RABGAP1,1
RABL2A,False,False,True,True,RABL2A,1
RAD51B,False,False,True,True,RAD51B,1
RAMP1,True,False,False,True,RAMP1,1
RANBP3L,False,False,True,True,RANBP3L,1
RARRES2,True,False,False,True,RARRES2,1
RASSF8,False,False,True,True,RASSF8,1
RBFOX2,False,False,True,True,RBFOX2,1
RBM24,False,False,True,True,RBM24,1
RBPMS,True,False,False,True,RBPMS,1
RCAN2,False,False,True,True,RCAN2,1
RERE,True,False,False,True,RERE,1
RERG,True,False,False,True,RERG,1
RFTN1,False,False,True,True,RFTN1,1
RGS2,True,False,False,True,RGS2,1
RGS3,False,False,True,True,RGS3,1
RHOBTB3,True,False,False,True,RHOBTB3,1
RHOD,False,False,True,True,RHOD,1
RIC3,False,False,True,True,RIC3,1
RNF144A,False,False,True,True,RNF144A,1
RNF150,False,False,True,True,RNF150,1
ROCK2,False,False,True,True,ROCK2,1
ROR2,False,False,True,True,ROR2,1
RP1-39G22.7,False,False,True,False,,0
RP11-1407O15.2,False,False,True,False,,0
RP11-14N7.2,False,False,True,False,,0
RP11-189B4.6,False,False,True,False,,0
RP11-553L6.5,False,False,True,False,,0
RP11-725P16.2,False,False,True,False,,0
RP11-89M20.2,False,False,True,False,,0
RP4-639F20.1,False,False,True,False,,0
RPA1,False,False,True,True,RPA1,1
RPS6KA5,False,False,True,True,RPS6KA5,1
RRAGB,False,False,True,True,RRAGB,1
RSPO3,True,False,False,True,RSPO3,1
RSPRY1,False,False,True,True,RSPRY1,1
S100A16,True,False,False,True,S100A16,1
S1PR3,False,False,True,True,S1PR3,1
SAE1,False,False,True,True,SAE1,1
SAP30,False,False,True,True,SAP30,1
SCG5,False,False,True,True,SCG5,1
SCN1B,False,False,True,True,SCN1B,1
SCN4B,False,False,True,True,SCN4B,1
SCRG1,False,False,True,True,SCRG1,1
SERP2,False,False,True,True,SERP2,1
SERPINF1,True,False,False,True,SERPINF1,1
SERPINH1,True,False,False,True,SERPINH1,1
SESN3,False,False,True,True,SESN3,1
SETBP1,False,False,True,True,SETBP1,1
SETMAR,False,False,True,True,SETMAR,1
SFRP1,True,False,False,True,SFRP1,1
SFRP4,False,False,True,True,SFRP4,1
SGCB,False,False,True,True,SGCB,1
SH3BGR,False,False,True,True,SH3BGR,1
SH3GLB2,False,False,True,True,SH3GLB2,1
SH3PXD2B,False,False,True,True,SH3PXD2B,1
SIGMAR1,False,False,True,True,SIGMAR1,1
SLC12A4,False,False,True,True,SLC12A4,1
SLC18B1,False,False,True,True,SLC18B1,1
SLC22A17,False,False,True,True,SLC22A17,1
SLC25A23,False,False,True,True,SLC25A23,1
SLC2A11,False,False,True,True,SLC2A11,1
SLC2A8,False,False,True,True,SLC2A8,1
SLC35B2,False,False,True,True,SLC35B2,1
SLC35F1,False,False,True,True,SLC35F1,1
SLC37A3,False,False,True,True,SLC37A3,1
SLC39A13,False,False,True,True,SLC39A13,1
SLC40A1,True,False,False,True,SLC40A1,1
SLC41A3,False,False,True,True,SLC41A3,1
SLC6A8,False,False,True,True,SLC6A8,1
SLC7A2,False,False,True,True,SLC7A2,1
SLMAP,False,False,True,True,SLMAP,1
SMARCA1,False,False,True,True,SMARCA1,1
SMARCD3,False,False,True,True,SMARCD3,1
SMCO3,False,False,True,True,SMCO3,1
SMIM10,False,False,True,True,SMIM10,1
SMOC2,False,False,True,True,SMOC2,1
SMPDL3A,False,False,True,True,SMPDL3A,1
SMTN,True,False,False,True,SMTN,1
